objectid,filename,Title,Author,Editor,Illustrator,Publisher,Region of Origin,Publish Date,ISBN,Reading Level,Age Range,Grade Level,Theme,Plot
coll001,The-Jumbies.jpg,The Jumbies,Tracey Baptiste,,,Algonquin Young Readers,"Caribbean
Trinidad & Tobago","April 26, 2016",978-1616205928,680L,9 - 12,4 - 7,"Courage
Friendship","Corinne La Mer claims she isn’t afraid of anything. Not scorpions, not the boys who tease her, and certainly not jumbies. They’re just tricksters made up by parents to frighten their children. Then one night Corinne chases an agouti all the way into the forbidden forest, and shining yellow eyes follow her to the edge of the trees. They couldn’t belong to a jumbie. Or could they?
When Corinne spots a beautiful stranger at the market the very next day, she knows something extraordinary is about to happen. When this same beauty, called Severine, turns up at Corinne’s house, danger is in the air. Severine plans to claim the entire island for the jumbies. Corinne must call on her courage and her friends and learn to use ancient magic she didn’t know she possessed to stop Severine and to save her island home."
coll002,Where-the-Mountain-Meets-the-Moon.jpg,Where the Mountain Meets the Moon,Grace Lin,,,"Little, Brown Books for Young Readers","Asia
China","July 1, 2019",978-0316038638,810L,8- 12,3 - 6,"Faith
Friendship","In the valley of Fruitless mountain, a young girl named Minli lives in a ramshackle hut with her parents. In the evenings, her father regales her with old folktales of the Jade Dragon and the Old Man of the Moon, who knows the answers to all of life’s questions. Inspired by these stories, Minli sets off on an extraordinary journey to find the Old Man of the Moon to ask him how she can change her family’s fortune. She encounters an assorted cast of characters and magical creatures along the way, including a dragon who accompanies her on her quest for the ultimate answer."
